"آذربایجان شرقی","تبریز","سنجش برتر","33296812 "
,"اهر","احمدی روشن",44231707
,"مراغه","دانش پرور",37236123
,"سراب","تلاش",43227030
,"میانه","عبدی",52245117
,"ملکان","سهند آذربایجان",37828083
,"جلفا","مهتاب دانش",42040300
,"بناب","هفت استاد",37737070
,"سهند","هدف نیک",34782597
,"اسکو","هدف نیک",34782597
,"هشترود","پژوهان",52625530
,"مرند","گنجینه دانش",42275222
,"عجب شیر","فراز ماهان",37633558
,"شبستر","زبان آیین",42420342
"آذربایجان غربی","ارومیه","امام علی (ع)",32345859
,"سلماس","هدف ",35247200
,"خوی","سنجش",36243092
,"چایپاره","سنجش",36724226
,"چالدران","گفتار نو",34265937
,"پلدشت","کمال اندیشه",34283139
,"شوط","فردوس",34276833
,"ماکو","معراج",34227540
,"پیرانشهر","اسلوب",44222081
,"نقده","سنجش",35666044
,"مهاباد","دانش محور",42245074
,"میاندوآب","سنجش",45266624
,"شاهین دژ","راه برتر",46335102
,"تکاب","امام خمینی(ره)",45524180
,"بوکان","کیش",46247788
,"سردشت","عدالت گستر",44332278
,"اشنویه","خردورزان",44629090
"اردبیل","اردبیل","آیندگان",33249464
,"پارس آباد مغان","مبتکران",32731946
"اصفهان","اصفهان","سنجش و دانش",36244809
,"اصفهان","ماهان",36240036
,"نجف آباد","رزمندگان",42647119
,"شاهین شهر","مشاهیر ",45223913
,"کاشان","ثامن",55445001
,"گلپایگان","ماهان",57454919
,"خوانسار","ماهان",57454919
"البرز","کرج","ماهان",32255213
"ایلام","ایلام","آفرینش",33343011
,"آبدانان","فرزانه",33627517
"بوشهر","بوشهر","مبین",33552466
"تهران","تهران","تخته سیاه",
,"پاکدشت","ره پویان ملاصدرا",36038086
"خراسان رضوی","مشهد","پیشتازان",36039707
,"نیشابور","آموزش و سنجش",42222878
,"تربت جام","سنجش ",52526684
,"سبزوار","فردای بهتر",44221757
,"تایباد","گنجینه دانش",54532061
,"بجستان","نگین کویر",56527007
,"جغتای","امیرالمومنین(ع) ",45623560
,"تربت حیدریه","حکیم",52317407
,"گناباد","ملامظفر گنابادی",57226184
,"جاجرم","سنجش برتر",32274027
,"خواف","سنجش و دانش",54232248
,"بردسکن","افق روشن",55431788
,"کاشمر","طرثیث",55524666
,"قوچان","رصد دانش پژوهان",47230715
,"جوین","جهش",45220730
,"درگز","صعود علم",46228878
"خراسان شمالی","آشخانه","گزینه2",32923617
"خوزستان","بهبهان","اندیشه سازان",52870911
,"دزفول","لقمان حکیم",42248008
,"اندیمشک","نوآوران دانش",42629220
,"مسجد سلیمان","کوشا",43229990
,"لالی","پیشتازان",43294537
,"ایذه","دانشور",43643600
"زنجان","ابهر","سنجش",35261767
,"خرمدره","سنجش",9127728392
"سمنان","سمنان","پویا اندیشان",33465511
,"شاهرود","رسول اکرم (ص) ",32222146
"فارس","شیراز","هفت استاد",32349445,"دخترانه"
,"شیراز","هفت استاد",32360009,"پسرانه"
,"لامرد","اندیشه",52726488
,"فسا","پژوهندگان",53310499,"دخترانه"
,"فسا","جامی",53333376,"پسرانه"
,"استهبان","ققنوس",53228412
,"سپیدان","ترنم",9179366475,"دخترانه"
,"سپیدان","زیست",9177387786,"پسرانه"
,"لارستان","پارس",52252694,"دخترانه"
,"لارستان","سپهر",52255440,"پسرانه"
,"ارسنجان","برنا",43524368
,"مرودشت","سرای دانش",43343062
,"ممسنی","اندیشه سازان",45544068,"دخترانه"
,"ممسنی","اندیشه سازان",42524068,"پسرانه"
,"سروستان","ابوریحان",37842764,"دخترانه"
,"سروستان","دانش پژوه",37842764,"پسرانه"
,"فیروزآباد","سنجش",38733727
"قزوین","تاکستان","آیین فراز",35237070
,"آبیک","هوشمند",32824819
"کردستان","سنندج","ابوریحان",33629529
,"دیواندره","پویندگان جوان",38727250
,"بانه","ساتیار",34243615
,"سقز","علوی",36223333
,"قروه","رزمندگان",35248970
"کرمان","کرمان","اندیشه یاوران",32445220
,"جیرفت","امام رضا(ع)",43218558
,"عنبرآباد","ذهن برتر",43292672
"کرمانشاه","کرمانشاه","سنجش",34272257
,"کرمانشاه","رتبه سازان",34234373
,"سرپل ذهاب","آذین دخت",42221747
,"اسلام آباد غرب","ماهان",45244990
,"گیلانغرب","حضرت معصومه(س)",43223059
,"پاوه","سپیدار",46130908
,"سنقر","بیگوند",48428884
,"کنگاور","مدرسان شریف",48238216
"کهگیلویه و بویراحمد","گچساران","اعتماد",32324492
"گلستان","گرگان","ماهان",32249615
,"بندرترکمن","خوارزمی",34432050
,"گنبد کاووس","سنجش و دانش",33236367
"گیلان","رشت","گیلان آکسفورد",33222663
,"بندرانزلی ","حکمت",44548709
,"لنگرود","اعتماد",42548063
,"صومعه سرا","آفاق",34732280
,"فومن","خرم",34723377
,"تالش","اندیشه",44221365
,"رودسر","اعتماد",42548063
"لرستان","الیگودرز","پدیده",43343064
,"پل دختر","سرو",32229009
,"بروجرد","دکتر خلیلی",42614092
,"رومشکان چغابل","سنا",32654248
"مازندران","ساری","ماهان",33269834
,"بابل","ماهان",32299396
"مرکزی","اراک","آرمان",32227510
,"ساوه","هوش برتر",42237452
,"شازند","فرجام",32820738
"هرمزگان","بندرعباس","مشاهیر",33347571
,"بندرلنگه","",9173627530
"همدان","همدان","عطارد",38268263
,"ملایر","ماهان",32232219
,"نهاوند","رزمندگان",33244828
"یزد","یزد","دکتر خلیلی",38204544
